# t x y z vx vy vz phi theta gamma phid thetad gammad
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -2.500000000000000000e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 5.000000000000000000e+01
3.340757238307349736e-03 3.338501742901694991e-02 5.618148267713903600e-09 1.000034629289195953e+00 9.986490605795680153e+00 6.814441332744561376e-06 2.065813287832330911e-02 -3.817655554744446003e-04 -2.499324601827044301e-01 1.669396378774262446e-01 -2.287111520391548192e-01 2.806468495488975701e-02 4.994116287288647982e+01
6.681514476614699473e-03 6.672484040427803520e-02 9.036310615760761963e-08 1.000137535399999056e+00 9.972943918952978493e+00 5.386913603255321167e-05 4.087684371729197186e-02 -1.515726904824777829e-03 -2.498938659622967906e-01 3.336857101820234206e-01 -4.464121232015215712e-01 -1.629934555404789071e-02 4.988507214130115131e+01
1.002227171492204964e-02 1.000193454382017483e-01 4.522683366252420402e-07 1.000307284581806400e+00 9.959359948118157391e+00 1.784560335500613975e-04 6.068126204037344040e-02 -3.327571142926733470e-03 -2.501118649706915442e-01 5.002564504037249060e-01 -6.312985660878922545e-01 -1.234197481102752847e-01 4.983696094335704174e+01
1.336302895322939895e-02 1.332684027925861714e-01 1.404225271681182751e-06 1.000542570751696392e+00 9.945735039371443875e+00 4.115529092350772361e-04 8.012168527171056875e-02 -5.677892349549759285e-03 -2.507715976946451319e-01 6.666854752750525082e-01 -7.664854757048376044e-01 -2.778189092059556997e-01 4.980076160215786274e+01
1.670378619153674998e-02 1.664718653792315040e-01 3.348520625862082143e-06 1.000842288322766560e+00 9.932062598807581466e+00 7.753892125468524318e-04 9.926655209253609780e-02 -8.381065909945962372e-03 -2.519995452368505306e-01 8.330171106622792365e-01 -8.413499111040141365e-01 -4.602133311866312693e-01 4.977894029571984191e+01
2.004454342984409929e-02 1.996295604430144977e-01 6.745066206549046368e-06 1.001205579128174650e+00 9.918334018943733454e+00 1.282097902538182699e-03 1.181941147483602933e-01 -1.122739320970179283e-02 -2.538545147048877904e-01 9.993014373282326224e-01 -8.521426958034318266e-01 -6.497472243777551171e-01 4.977248190374356085e+01
2.338530066815144859e-02 2.327412845488461279e-01 1.207684111143236107e-05 1.001631850659570722e+00 9.904539716344334721e+00 1.933377999740256304e-03 1.369837467760927907e-01 -1.400607827213927979e-02 -2.563261432430807840e-01 1.165589436426657688e+00 -8.018820993372336448e-01 -8.262220101646847725e-01 4.978095550092774602e+01
2.672605790645879789e-02 2.658068021110106538e-01 1.981574190265284347e-05 1.002120765913347089e+00 9.890670202525752686e+00 2.721057453558882108e-03 1.557077767879497532e-01 -1.652674210799178617e-02 -2.593405367117145310e-01 1.331928430466538416e+00 -6.996005290649733865e-01 -9.721050181328455553e-01 4.980262287032793722e+01
3.006681514476614719e-02 2.988258474539791654e-01 3.039166038783213734e-05 1.002672207930356940e+00 9.876717114916932161e+00 3.628444058355546290e-03 1.744246181967485654e-01 -1.863749621694964220e-02 -2.627719937342691825e-01 1.498357956241311628e+00 -5.590601449548848745e-01 -1.074138082997134314e+00 4.983459156796833867e+01
